"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J5";"PinHeader_1x02_P2.54mm_Vertical";1;"Light Detect";;;
2;"J3";"PinHeader_1x02_P2.54mm_Vertical";1;"Sensor";;;
3;"J7";"PinHeader_1x04_P2.54mm_Vertical";1;"Conn_01x04_Male";;;
4;"D4,D3";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"LED";;;
5;"SW1";"PTS526_SK15_SMTR2_LFS";1;"PTS526_SK15_SMTR2_LFS";;;
6;"J1";"PinHeader_1x03_P2.54mm_Vertical";1;"~";;;
7;"J2";"PinHeader_1x02_P2.54mm_Vertical";1;"Ext Battery 3.3V";;;
8;"U1";"ESP32-WROOM-32";1;"ESP32-WROOM-32";;;
9;"J4";"PinHeader_1x02_P2.54mm_Vertical";1;"Thermistor";;;
10;"SW2";"PTS526_SK15_SMTR2_LFS";1;"~";;;
11;"J6";"MICRO-B_USB_POWER";1;"MICRO-B USB";;;
12;"R13,R16";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"220";;;
13;"R7,R4,R3,R10,R5,R12,R6,R11";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";8;"10k";;;
14;"R15,R14";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"3K3";;;
15;"C4,C3";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"100n";;;
16;"Q1";"SOT-23";1;"MMBT3904";;;
17;"R9,R8";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"0";;;
18;"D1";"D_SOD-123F";1;"MBR120VLSF";;;
19;"R2";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"1k";;;
20;"D2";"D_SOD-323";1;"1N4148WS";;;
21;"R1";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"2M7";;;
22;"U2";"SOT-223-3_TabPin2";1;"AMS1117-3.3";;;
23;"C2,C5";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"10u";;;
24;"Q2";"SOT-23";1;"NDS356AP";;;
25;"C1";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;".1u";;;
